image,perturbation,name,precision,recall,f1,bbox_iou_mean,mask_iou,elapsed,n_boxes
0.jpg,original,classical-hsv,0.7777777777777778,0.4117647058823529,0.5384615384615384,0.3790885294645026,0.08188452922899053,0.028331333014648408,9
0.jpg,original,deeplab,0.7894736842105263,0.8823529411764706,0.8333333333333333,0.7972086082484484,0.14397047154931206,5.23253608396044,19
0.jpg,original,maskrcnn,0.9375,0.8823529411764706,0.9090909090909091,0.7871550449810275,0.5528280557039392,1.7626581660006195,16
1.jpg,original,classical-hsv,0.6666666666666666,0.5555555555555556,0.606060606060606,0.5188731852817313,0.09409627678057624,0.009839333011768758,15
1.jpg,original,deeplab,0.6,0.6666666666666666,0.631578947368421,0.6957876578000557,0.16064181094481952,2.624569125007838,20
1.jpg,original,maskrcnn,1.0,1.0,1.0,0.8763847361013986,0.580259519739333,0.9476311670150608,18
10.jpg,original,classical-hsv,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.7023957495603221,0.09858806878812046,0.006600582972168922,13
10.jpg,original,deeplab,0.6086956521739131,1.0,0.7567567567567568,0.9100108318720375,0.19815215254570473,2.662106457981281,23
10.jpg,original,maskrcnn,0.9333333333333333,1.0,0.9655172413793104,0.8701024408451269,0.47665969337739644,1.818239625019487,15
11.jpg,original,classical-hsv,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.6331985819810295,0.08961061114786292,0.009698541020043194,13
11.jpg,original,deeplab,0.7222222222222222,1.0,0.8387096774193548,0.8843831416459076,0.18493759602271748,2.6011261669918895,18
11.jpg,original,maskrcnn,0.8,0.9230769230769231,0.8571428571428571,0.8188804396338691,0.46615893244879925,0.9783119999920018,15
12.jpg,original,classical-hsv,0.7142857142857143,0.7692307692307693,0.7407407407407408,0.6976920906219561,0.08189037091821781,0.008377958030905575,14
12.jpg,original,deeplab,0.6,0.9230769230769231,0.7272727272727274,0.888098945479465,0.16471446552982016,2.632112041057553,20
12.jpg,original,maskrcnn,0.9285714285714286,1.0,0.962962962962963,0.8719462500948475,0.49909596743149764,0.9034800829831511,14
13.jpg,original,classical-hsv,0.5,0.42857142857142855,0.4615384615384615,0.47043157760352167,0.08077724564033195,0.010809292027261108,12
13.jpg,original,deeplab,0.6,0.8571428571428571,0.7058823529411764,0.8412866951841439,0.1545792536653597,2.681394709041342,20
13.jpg,original,maskrcnn,0.8666666666666667,0.9285714285714286,0.896551724137931,0.8399951220528517,0.4677376731484948,0.8636375830392353,15
14.jpg,original,classical-hsv,0.7,0.5384615384615384,0.608695652173913,0.47407616940297903,0.08311671048356128,0.008475792012177408,10
14.jpg,original,deeplab,0.4166666666666667,0.7692307692307693,0.5405405405405406,0.7650204771859642,0.15924889681720025,2.5756132919923402,24
14.jpg,original,maskrcnn,1.0,1.0,1.0,0.8703046806629958,0.5095241899587989,0.7828649169532582,13
15.jpg,original,classical-hsv,0.875,0.5384615384615384,0.6666666666666667,0.5036181699074589,0.07751399095699314,0.007406292017549276,8
15.jpg,original,deeplab,0.45454545454545453,0.7692307692307693,0.5714285714285714,0.779631532105788,0.16526337214373835,2.5747596669825725,22
15.jpg,original,maskrcnn,1.0,0.9230769230769231,0.9600000000000001,0.8369010116905723,0.5215484069570571,0.8080562920076773,12
16.jpg,original,classical-hsv,0.9,0.6428571428571429,0.75,0.580984031713937,0.0835663437268564,0.007705875032115728,10
16.jpg,original,deeplab,0.5,1.0,0.6666666666666666,0.9179727929113203,0.17126523742984412,2.606942042009905,28
16.jpg,original,maskrcnn,1.0,0.9285714285714286,0.962962962962963,0.8272081678062386,0.47131933158311456,0.8564283329760656,13
17.jpg,original,classical-hsv,0.6666666666666666,0.7142857142857143,0.689655172413793,0.6759477850559772,0.08690148870185045,0.007676166016608477,15
17.jpg,original,deeplab,0.5384615384615384,1.0,0.7000000000000001,0.8959350267979761,0.17430914060127542,2.5958203329937533,26
17.jpg,original,maskrcnn,0.9333333333333333,1.0,0.9655172413793104,0.8931091666022797,0.4829638665713204,0.9071450419723988,15
18.jpg,original,classical-hsv,0.8,0.5714285714285714,0.6666666666666666,0.49518427262864045,0.08218531835089654,0.007704959018155932,10
18.jpg,original,deeplab,0.5416666666666666,0.9285714285714286,0.6842105263157894,0.8464338630203395,0.17453561976820395,2.6350905409781262,24
18.jpg,original,maskrcnn,0.9333333333333333,1.0,0.9655172413793104,0.8779559080622862,0.48595251042233095,0.7493354170001112,15
19.jpg,original,classical-hsv,0.7692307692307693,0.6666666666666666,0.7142857142857142,0.6159657549263264,0.1033073050578545,0.008039333974011242,13
19.jpg,original,deeplab,0.6,1.0,0.7499999999999999,0.9174394663373514,0.2532597701987298,2.541350457991939,25
19.jpg,original,maskrcnn,0.8823529411764706,1.0,0.9375,0.8721490247700456,0.5016169632556026,0.6436487920000218,17
2.jpg,original,classical-hsv,0.6153846153846154,0.47058823529411764,0.5333333333333333,0.45749914672731773,0.08094937850711513,0.006895124970469624,13
2.jpg,original,deeplab,0.6666666666666666,0.7058823529411765,0.6857142857142857,0.6681705233566676,0.1422098772728168,2.422857291996479,18
2.jpg,original,maskrcnn,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.8480638358171096,0.5561966567345084,0.8747954169521108,19
3.jpg,original,classical-hsv,0.7894736842105263,0.9375,0.8571428571428572,0.8383841924875299,0.08338937691699468,0.007166749972384423,19
3.jpg,original,deeplab,0.6521739130434783,0.9375,0.7692307692307693,0.8688151141250282,0.15066870572159238,2.352241166983731,23
3.jpg,original,maskrcnn,1.0,0.9375,0.967741935483871,0.850937854793533,0.5613692386400633,0.8739326249924488,15
4.jpg,original,classical-hsv,0.8181818181818182,0.5625,0.6666666666666666,0.5178505531275461,0.08033249475121043,0.007466624956578016,11
4.jpg,original,deeplab,0.6363636363636364,0.875,0.7368421052631579,0.8384654738431322,0.14903057834506792,2.4865630409913138,22
4.jpg,original,maskrcnn,0.8421052631578947,1.0,0.9142857142857143,0.8887090211379325,0.5511264807896172,0.8019365000072867,19
5.jpg,original,classical-hsv,0.7272727272727273,0.6153846153846154,0.6666666666666667,0.5762686389474767,0.0629012348346376,0.009121915965806693,11
5.jpg,original,deeplab,0.6190476190476191,1.0,0.7647058823529412,0.9061260395063351,0.12384340034669848,2.7107591669773683,21
5.jpg,original,maskrcnn,0.8666666666666667,1.0,0.9285714285714286,0.9089976946118731,0.5844261010396531,0.7883625829708762,15
6.jpg,original,classical-hsv,0.75,0.6,0.6666666666666665,0.5607386769752263,0.07049567428269023,0.007105332973878831,12
6.jpg,original,deeplab,0.6363636363636364,0.9333333333333333,0.7567567567567568,0.8666870696478072,0.13336706684403965,2.377437582996208,22
6.jpg,original,maskrcnn,0.8333333333333334,1.0,0.9090909090909091,0.8942755561363159,0.5796046028522746,0.7757898749550804,18
7.jpg,original,classical-hsv,0.7857142857142857,0.6875,0.7333333333333334,0.6304698000442126,0.08478956724218924,0.006357666978146881,14
7.jpg,original,deeplab,0.7619047619047619,1.0,0.8648648648648648,0.9117883808219609,0.1548507728572202,2.371348249958828,21
7.jpg,original,maskrcnn,0.8888888888888888,1.0,0.9411764705882353,0.9069606643388565,0.5909647895724216,1.0220630419789813,18
8.jpg,original,classical-hsv,0.8,0.5714285714285714,0.6666666666666666,0.5371195717496097,0.08025288781979002,0.010799959010910243,10
8.jpg,original,deeplab,0.6363636363636364,1.0,0.7777777777777778,0.9082734099264894,0.14061762581951134,2.485620374965947,22
8.jpg,original,maskrcnn,0.875,1.0,0.9333333333333333,0.9085434248797312,0.4706853763619422,0.839776124979835,16
9.jpg,original,classical-hsv,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.504341203973092,0.07166604427686116,0.008365374989807606,12
9.jpg,original,deeplab,0.6363636363636364,1.0,0.7777777777777778,0.9092791642025777,0.12396350771430076,2.530117042013444,22
9.jpg,original,maskrcnn,0.9333333333333333,1.0,0.9655172413793104,0.861251672977567,0.41986011139277984,0.9070012919837609,15
